,u,g,r,i,z,y,u-g,g-r,r-i,i-z,z-y,Star_name,Sp_T,V,B_V,Name,Model,STIS,Var_(%),RA,Decl,Vr,PM,PM.1,Simbad_Name,Alt_Simbad_Name,Astroquery_Name,Alt_Star_name,HD_name
HD42525,6.231004253392628,5.548674408649306,5.822142868004876,6.05675628414068,6.211419271119512,6.26591139364128,0.6823298447433226,-0.27346845935557074,-0.23461341613580355,-0.15466298697883207,-0.054492122521767605,ETA1 DOR,A0V,5.69,-0.01,eta1dor,_mod_004,_stis_004,0.18,06 06 09.382,-66 02 22.63,17.6,13.66,27.82,HD42525,,* ETA01 DOR,ETA DOR,HD42525
HD111980,9.439323674636112,8.563273410608254,8.226027865673228,8.112948361073654,8.084292350756725,8.073961549271429,0.8760502640278585,0.33724554493502623,0.11307950459957361,0.028656010316929326,0.010330801485295638,HD111980,F7V,8.38,0.53,hd111980,_mod_003,_stis_006,,12 53 15.053,-18 31 20.01,155.0,299.49,-796.09,,,HD 111980,,HD111980
HD38666,4.5519233340362195,4.881368146305177,5.366921542485943,5.73446465707868,6.010096530717924,6.216614057271166,-0.3294448122689575,-0.4855533961807659,-0.3675431145927375,-0.27563187363924335,-0.20651752655324263,MU COL,O9.5V,5.18,-0.28,mucol,_mod_005,_stis_007,0.12,05 45 59.895,-32 18 23.16,109.0,2.99,-22.03,,,* MU. COL,,HD38666
HD185975,9.652166190096576,8.36222794697087,7.9118338765455904,7.786261224418558,7.75808007854425,7.740251575719714,1.2899382431257056,0.45039407042528,0.1255726521270324,0.0281811458743082,0.01782850282453552,HD185975,G3V,8.10,0.68,hd185975,_mod_004,_stis_007,,20 28 18.740,-87 28 19.94,-19.0,169.76,-56.99,,,HD 185975,,HD185975
BD-113759,14.59345699988404,12.032390357326843,10.689762740901205,9.194089770962533,8.472630852549422,8.125482652273565,2.561066642557197,1.3426276164256379,1.4956729699386724,0.721458918413111,0.347148200275857,BD-11 3759,M3.5V,11.32,1.60,bd11d3759,,_stis_003,,14 34 16.812,-12 31 10.42,-1.0,-355.04,593.22,,,BD-11  3759,,
HD 185975,9.652166190096576,8.36222794697087,7.9118338765455904,7.786261224418558,7.75808007854425,7.740251575719714,1.2899382431257056,0.45039407042528,0.1255726521270324,0.0281811458743082,0.01782850282453552,HD185975,G3V,8.10,0.68,hd185975,_mod_004,_stis_007,,20 28 18.740,-87 28 19.94,-19.0,169.76,-56.99,,,HD 185975,,HD185975
HD 160617,9.665920269751446,8.88691312993374,8.600030680989802,8.5032993387635,8.48535550366299,8.487450711161605,0.7790071398177059,0.28688244894393833,0.09673134222630253,0.017943835100508565,-0.002095207498614471,HD160617,F,8.73,0.45,hd160617,_mod_002,_stis_005,,17 42 49.324,-40 19 15.51,100.0,-62.39,-393.23,,,HD 160617,,HD160617
HD160617,9.665920269751446,8.88691312993374,8.600030680989802,8.5032993387635,8.48535550366299,8.487450711161605,0.7790071398177059,0.28688244894393833,0.09673134222630253,0.017943835100508565,-0.002095207498614471,HD160617,F,8.73,0.45,hd160617,_mod_002,_stis_005,,17 42 49.324,-40 19 15.51,100.0,-62.39,-393.23,,,HD 160617,,HD160617
HD142331,10.248438886202086,8.982465402338535,8.531118157510646,8.405661472974062,8.374382193677521,8.356281837320017,1.2659734838635508,0.4513472448278897,0.12545668453658365,0.03127927929654106,0.018100356357503955,HD142331,G5V,8.75,0.64,hd142331,_mod_005,_stis_005,,15 54 19.788,-08 34 49.37,-70.8,-105.98,-23.73,,,HD 142331,,HD142331
HD205905,8.14551005362265,6.967722306664185,6.574720158908541,6.478788136229186,6.467645519988261,6.461305229323958,1.1777877469584643,0.39300214775564424,0.09593202267935474,0.011142616240924497,0.006340290664303083,HD205905,G2V,6.74,0.62,hd205905,_mod_007,_stis_009,0.26,21 39 10.151,-27 18 23.67,-17.0,384.1,-83.96,,,HD 205905,,HD205905
HD167060,10.334270455547713,9.16029755198601,8.760625814312176,8.652380488587294,8.629999726509112,8.615024429077033,1.1739729035617028,0.39967173767383457,0.10824532572488188,0.02238076207818196,0.014975297432078705,HD167060,G3V,8.92,0.64,hd167060,_mod_005,_stis_005,<0.09,18 17 44.143,-61 42 31.62,15.2,88.52,-145.15,,,HD 167060,,HD167060
HD2811,8.388517957784718,7.48593900731743,7.563437351076416,7.682533413827821,7.761786935172774,7.784128446147129,0.9025789504672872,-0.07749834375898601,-0.11909606275140483,-0.07925352134495256,-0.022341510974355216,HD2811,A3V,7.50,0.17,hd2811,_mod_004,_stis_004,,00 31 18.490,-43 36 23.00,,-6.02,-4.18,,,HD   2811,,HD2811
HD009051,10.612518706679456,9.280147506990271,8.679102320219382,8.42964016824278,8.314743873517571,8.244871780842127,1.3323711996891845,0.6010451867708895,0.24946215197660138,0.11489629472520946,0.06987209267544436,HD009051,G7III,8.92,0.81,hd009051,_mod_004,_stis_007,,01 28 46.503,-24 20 25.44,-72.0,53.56,-17.03,,,HD   9051,,HD9051
