,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.14884769069943712,0.11558950354330588,0.5874898956641031,0.088523974471306,0.09033061360881933
empty_diff,0.0756221122113636,-0.039133205799915416,1.0517514035415825,0.14799903560542307,0.14596790448699465
OG550_65mm_1_repinterp_ram,-0.01630782533657882,-0.07863334042102033,2.120188704734546,1.7640264873764324,1.7658049707533188
empty_repinterp_ram,-0.02416840813413584,-0.0317985155923608,2.4529478337740036,1.8173006485585033,1.820525869311006
OG550_65mm_1_repinterp_rum,-0.017569354739830224,-0.0911815533949818,2.1448957107158537,1.783752843636023,1.7901851584622086
empty_repinterp_rum,-0.016622485616179232,-0.012519082087618205,2.48106355988884,1.8171225570124876,1.8127080188665647
OG550_65mm_1_repdiff_ram,0.034790464701735906,0.035721609813498034,2.308258754521103,1.9319993729045957,1.9359174336368945
empty_repdiff_ram,0.1226457628419162,0.03281791246256405,2.5121042670453173,1.918850528191685,1.9278579220943588
OG550_65mm_1_repdiff_rum,0.044683208263865175,0.051285430523563935,2.3631602197392905,1.9734662417906035,1.9774308597294377
empty_repdiff_rum,0.04878908812168886,0.024778504379119437,2.581719300221073,2.0188083852708596,2.045183335922634
