,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.12441991663523734,0.11425086190751932,0.15270134833175633,0.07697340185390952,0.07780761700634618
empty_diff,-0.010082759850364782,-0.04862333017331111,0.6217542941743266,0.1508787994800514,0.154210095565038
OG550_65mm_1_repinterp_ram,-0.0002504579362859101,-0.002921245661859917,0.2350994243416876,0.11878577141419995,0.11869182643975999
empty_repinterp_ram,-0.0006485246008539093,-0.0007826696116328691,0.3211144567620748,0.17637298667429444,0.17704939228239905
OG550_65mm_1_repinterp_rum,-0.001125067639970031,-0.003967790134016824,0.2557524989455339,0.11888968562011419,0.11819661727556868
empty_repinterp_rum,-0.00010161436438808753,0.0010649492552705642,0.4975920022246745,0.1796500056359624,0.18048483075502517
OG550_65mm_1_repdiff_ram,-0.01572879412729056,-0.007759266293478895,0.3585875397398264,0.18862735509821094,0.18792313323068804
empty_repdiff_ram,-0.02563348706857122,-0.025858944014964358,0.5002295904308665,0.3186224034390335,0.3180179180873858
OG550_65mm_1_repdiff_rum,-0.01486021938541085,-0.012090914356997384,0.37214921604232565,0.19122013271656793,0.1911856388938786
empty_repdiff_rum,-0.021291338188751563,-0.023072539320516228,0.6544284858097771,0.3171269844279208,0.3197031485887852
