,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.12440821057817095,0.11351383511185242,0.185159684867885,0.07729788989138778,0.07861680393649374
empty_diff,-0.012878975354982313,-0.040933143173794484,0.441533678962748,0.12505434410342267,0.12626151014050435
OG550_65mm_1_repinterp_ram,0.000900133765223462,-0.002866372178400578,0.31277026984194145,0.11960436175617367,0.11979601149396585
empty_repinterp_ram,-0.0028057806151475925,-0.0019943571403162608,0.3136478445920015,0.1655298398849296,0.16548524906184695
OG550_65mm_1_repinterp_rum,0.00010491357933673018,-0.0035554365325297654,0.3229970882809338,0.12093552659794224,0.12111129443161248
empty_repinterp_rum,0.0006399326654187098,-0.00022333828168186187,0.3019764129315229,0.1680733567909282,0.16846364788093304
OG550_65mm_1_repdiff_ram,-0.01684512225766107,-0.007610733098685762,0.46669969342821044,0.19199363978761227,0.19205647813114096
empty_repdiff_ram,-0.028022261733436332,-0.022658785322385633,0.47861047412970864,0.2979937064727756,0.29732315965974965
OG550_65mm_1_repdiff_rum,-0.018009945468462865,-0.012478152158094336,0.46589546719492364,0.19361284497535186,0.19344391767951932
empty_repdiff_rum,-0.02489948711965589,-0.02273160723097689,0.48760882409629286,0.30347942825426727,0.3029466344258227
