,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.0377181707233165,0.029913983633810037,0.3463100595954138,0.16551522685395317,0.16560256220739544
empty_diff,0.036127282507168665,-0.15353538461508753,1.2448205780404562,0.4588212994782797,0.45811275327079387
OG550_65mm_1_repinterp_ram,0.01581063007454923,0.014316537914343508,0.2906908232857149,0.16323969864052837,0.15660582911086024
empty_repinterp_ram,-0.0011874099607409785,0.00048682777541797506,0.3891253899087683,0.22259736584035109,0.22233608425920504
OG550_65mm_1_repinterp_rum,-0.001944791374606562,0.010498050760078481,0.4803897084397334,0.22487775548128494,0.21534428955848903
empty_repinterp_rum,-0.00810068679200585,0.004801814336158117,1.0256963339284522,0.24255334955136043,0.24464017579608377
OG550_65mm_1_repdiff_ram,-0.07488155110598038,-0.03305715908199591,0.4085904475690797,0.2204784850436917,0.21231977423813314
empty_repdiff_ram,-0.00788836094895498,-0.017160628876565553,0.5908142601444231,0.41710217167708763,0.4162261747461361
OG550_65mm_1_repdiff_rum,-0.1003197113822528,-0.02979520830835325,0.5752815253950526,0.31912294732045643,0.3278877693682591
empty_repdiff_rum,-0.008454440955853345,-0.029770382763047998,1.170730712546143,0.4238885170615263,0.4275564961989178
