,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.015893470087864476,0.0260510162344052,0.19327386963075283,0.15968114304502626,0.15972586646923181
empty_diff,-0.09762206639915748,-0.15710832575610478,0.7124608173478654,0.40033250828515693,0.39823333016579016
OG550_65mm_1_repinterp_ram,0.014707029516588614,0.020109411131532973,0.17600696333753874,0.15480514057612466,0.14817950819749479
empty_repinterp_ram,0.003599273380708833,0.000876668101773781,0.28983559167621453,0.2524645279213663,0.25200809093446236
OG550_65mm_1_repinterp_rum,0.014501711396430368,0.012702544224785228,0.2451178663550821,0.20351023910760926,0.19825650096200628
empty_repinterp_rum,0.008899205345742475,0.010813658058896003,0.4933314358718691,0.24654394425093004,0.24290492040356834
OG550_65mm_1_repdiff_ram,-0.01654074054405346,-0.023427436420438097,0.2304222476257206,0.23053527341664112,0.21399094849230435
empty_repdiff_ram,-0.002602527034085929,-0.03669907945824802,0.568038288600244,0.4222576420797387,0.4119655487454652
OG550_65mm_1_repdiff_rum,-0.009829303715308914,-0.026211303011575593,0.2987710143536152,0.30915428243568993,0.300081501262641
empty_repdiff_rum,0.018780311926773485,-0.030865467131134916,0.7478983600006396,0.438842275201867,0.4513842035263746
