,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.13773154372433483,0.12190774106391311,0.134575463808184,0.07177851750655641,0.07295682018309661
empty_diff,-0.018769891034665035,-0.03805671264630783,0.36939828710623074,0.12318480136813882,0.12453075178747271
OG550_65mm_1_repinterp_ram,-0.0017059844417509301,-0.003760307479489189,0.19818308297834203,0.11263832987107177,0.11295565485812634
empty_repinterp_ram,-0.0030456514575527643,-0.0013548510073455589,0.32871468823034633,0.16085039698051143,0.1611963556387429
OG550_65mm_1_repinterp_rum,-0.001700092288742609,-0.004542610719884266,0.21840262081282513,0.11200527049884955,0.11246910609426114
empty_repinterp_rum,-0.00474953108108219,-0.0015776193699283958,0.30973411364656717,0.16498085683187763,0.1650354219870055
OG550_65mm_1_repdiff_ram,-0.019888137933889213,-0.009461782456250845,0.3161828123084349,0.1848640565672343,0.18211925690385733
empty_repdiff_ram,-0.029908329544602773,-0.025858944014964358,0.4923464444162408,0.30609693768891616,0.30611415974895523
OG550_65mm_1_repdiff_rum,-0.01917112368476086,-0.013817433666544032,0.32609117796954507,0.182706792939928,0.18218427790561045
empty_repdiff_rum,-0.026039080739807718,-0.021486415531078773,0.4662283019280329,0.30003627052105825,0.3029256137938346
