,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.13748698568646064,0.11561141673148068,0.24386665451025563,0.08107509611182828,0.08265211753939347
empty_diff,0.0023925750351348695,-0.042691482872164954,0.5267631102138448,0.13345152514337158,0.13514156382025408
OG550_65mm_1_repinterp_ram,-0.00023226203983865698,-0.0036624151807913563,0.32377706898909453,0.12193247508899717,0.1215476364682438
empty_repinterp_ram,-0.0009188108949089653,-0.0022002200252360105,0.3537671194107936,0.16595843046150582,0.16587743797872093
OG550_65mm_1_repinterp_rum,-0.001905274072455505,-0.002861664156394883,0.37646041716628537,0.1266186431859334,0.1270937847227104
empty_repinterp_rum,0.0014031648035453769,-0.00041827435668961854,0.4171246469442304,0.1753208402830236,0.1753055728871254
OG550_65mm_1_repdiff_ram,-0.014418822556680115,-0.007796522914509829,0.4751986030050803,0.1955765618911285,0.1953048493590972
empty_repdiff_ram,-0.0345916136172673,-0.016029256130315694,0.49809232488299227,0.2988442133257521,0.30225062119680207
OG550_65mm_1_repdiff_rum,-0.014029709826631173,-0.011396623698954611,0.5248313553475982,0.19946863669810455,0.1998568964613823
empty_repdiff_rum,-0.028181445733567585,-0.023072539320516228,0.5822118639487008,0.30666393467126074,0.30907974156872287
