,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.13473537792216067,0.12027620356310686,0.17274686457794666,0.07446681633267338,0.0753795545440721
empty_diff,-0.015347477152678592,-0.038197124842167085,0.3740023412996918,0.12266756324905637,0.12628653573880214
OG550_65mm_1_repinterp_ram,-0.025340133667240482,-0.07569783335110358,1.8952246562139168,1.5814132919183106,1.5847658078718554
empty_repinterp_ram,0.014714548800410123,-0.041070512165300777,2.256179960951071,1.7851276667793197,1.7869801831594332
OG550_65mm_1_repinterp_rum,-0.02477735817839589,-0.07374386160654911,1.863274250955549,1.5639510436593171,1.5702461504241894
empty_repinterp_rum,0.011831560975755287,-0.04039197595611588,2.204537339984089,1.7479567155139741,1.7533891369364436
OG550_65mm_1_repdiff_ram,0.021153038438981128,0.03781428982328183,2.0391305126956913,1.6390874316868898,1.6299702372805474
empty_repdiff_ram,0.05873433887173489,0.013418248371752206,2.382428721680079,1.9951753196923443,2.0075660656565812
OG550_65mm_1_repdiff_rum,0.026343451762280715,0.03273315376161623,1.9897682533818375,1.5810994358739827,1.5748488993003433
empty_repdiff_rum,0.052655013686813454,0.06098260667837563,2.3076600156087337,1.9647289215526305,1.9482462678228005
