,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.14884769069943712,0.11558950354330588,0.5874898956641031,0.088523974471306,0.09033061360881933
empty_diff,0.0756221122113636,-0.039133205799915416,1.0517514035415825,0.14799903560542307,0.14596790448699465
OG550_65mm_1_repinterp_ram,-0.0025706888834254402,-0.0034908241292140874,0.48232511873616823,0.13058362605185553,0.13041628385074192
empty_repinterp_ram,-0.0010457396790278552,-0.002491566479269569,0.5522686521781867,0.17245107991181197,0.17242027907235044
OG550_65mm_1_repinterp_rum,-0.00100041458346072,-0.0027735126175364444,0.6359769195084172,0.13917834054599934,0.13879596781167358
empty_repinterp_rum,0.0015599348826924376,-9.2191659781804e-06,0.9874961534405152,0.19208433743995518,0.1911185426419877
OG550_65mm_1_repdiff_ram,-0.012982735634015889,-0.004336019388297807,0.6512618496193046,0.20676351155683798,0.20684367097407266
empty_repdiff_ram,-0.02577983917305157,-0.014495027779258818,0.6628137543675713,0.3131970377399729,0.31331327232499967
OG550_65mm_1_repdiff_rum,-0.009536231893863585,-0.010257827875477021,0.8084802841710668,0.21975249823980877,0.21965994532484304
empty_repdiff_rum,-0.0302819560820668,-0.01979903383845194,1.0854074493213166,0.3190747074286159,0.32250915791173385
